feature,coefficient,odds_ratio
categorical__ethnicity_detail_Asian - Japanese,0.934678745093394,2.546395284345681
categorical__program_code_1_CT_ATM,0.8065430626838498,2.240150525927234
categorical__program_description_Airline Travel Management,0.8065430626838498,2.240150525927234
categorical__program_description_Public Health-General Studies,0.7926915177606,2.2093348950329514
categorical__program_code_1_AA_PUBG,0.7926915177606,2.2093348950329514
categorical__education_goal_Prepare for a new career,0.7433746144054619,2.10302043639064
categorical__program_code_1_CT_VRAR,0.7032065446737155,2.020220259193987
categorical__program_description_Immersive Media (VR/AR),0.7032065446737155,2.020220259193987
categorical__program_description_Arch Tech: Design 2,0.6970251484182413,2.007770993809944
categorical__program_code_1_AS_ARDD,0.6970251484182413,2.007770993809944
categorical__attendance_status_FT,0.6817408293401415,1.9773169091420715
categorical__program_code_1_CE_YOGA,0.6783983904864557,1.9707188811741305
categorical__program_description_Yoga Instructor,0.6783983904864557,1.9707188811741305
categorical__education_goal_Certificate Only,0.6780900345492721,1.9701112919882813
categorical__program_code_1_CN_PILA,0.6617200166482092,1.9381230730698564
categorical__program_description_Pilates Instructor,0.6617200166482092,1.9381230730698564
categorical__program_code_1_CT_FSMC,0.5809790308913887,1.787787873786636
categorical__program_code_1_CE_AVFO,0.5736345422774448,1.7747055862658125
categorical__program_description_Aviatn Sci:Flight Operations,0.5736345422774448,1.7747055862658125
categorical__program_description_EC: Assoc Preschool,0.5617344020531121,1.753711504941074
categorical__program_code_1_CN_ECAP,0.5617344020531121,1.753711504941074
categorical__program_code_1_CN_FTV,0.5468485003069427,1.7277992697701847
categorical__education_goal_AA Degree w/Transfer Bach.,0.544535829998917,1.7238080566596838
categorical__program_description_Welding Technology,0.5410819228611197,1.717864453943188
numeric__international_student,0.534725252682214,1.706979189867787
categorical__residency_VACA Non-Resident Fee Exemptn,0.5261462051615726,1.692397571911734
categorical__residency_Military Dependent NR Exempt,0.5183828089978764,1.6793096880423963
categorical__program_description_Film & Television,0.5097607389078858,1.6648928032176158
categorical__ipeds_ethnicity_Asian,0.4898242069350148,1.6320292953044688
categorical__program_description_Public Health Science,0.48500301549182345,1.6241799065380729
categorical__program_code_1_AST_HLTH,0.48500301549182345,1.6241799065380729
categorical__program_code_1_CT_PHST,0.47824096760881646,1.6132341737321556
categorical__ethnicity_detail_White,0.47796571555197,1.6127901888143448
categorical__program_code_1_AS_MKGN,0.4751957824331471,1.608329049238117
categorical__program_code_1_CN_MRPM,0.4690472882012101,1.5984705857661277
categorical__program_description_Professional Mariner - Level 1,0.4690472882012101,1.5984705857661277
categorical__program_code_1_AAT_ENGL,0.4638598325742733,1.5902000605691724
categorical__program_code_1_CT_DNDI,0.4625146405956763,1.5880623743248772
categorical__program_description_Dance Instructor,0.4625146405956763,1.5880623743248772
categorical__program_code_1_AS_TRAV,0.4599857446193322,1.5840514035777735
categorical__program_description_Travel Specialist,0.4599857446193322,1.5840514035777735
categorical__program_description_HVACR Technology,0.45544266816361434,1.576871259263395
categorical__program_code_1_AS_DMAN,0.4543559599311254,1.575158591038254
categorical__program_description_Ceramics,0.44421969608123857,1.5592730141652413
categorical__program_code_1_CE_CERM,0.44421969608123857,1.5592730141652413
categorical__program_code_1_AST_NUTR,0.4393055646344387,1.5516293380089263
categorical__program_code_1_AS_FAAT,0.41127262219220806,1.5087366155799469
categorical__program_description_Aviation Science,0.4087783494140344,1.5049781042351378
categorical__program_description_Animation,0.40687845754838026,1.5021215230338647
categorical__ethnicity_detail_Asian - Vietnamese,0.40236676489157214,1.4953596775430684
categorical__program_code_1_CT_CSU,0.4006502318924733,1.4927950450788927
categorical__program_description_CSU Breadth Certificate,0.4006502318924733,1.4927950450788927
categorical__residency_Non-Resident-Out of state,0.3932139991463831,1.4817354455236846
categorical__program_description_Physics,0.3780034959425276,1.4593680447336896
categorical__program_code_1_AST_PHYS,0.3780034959425276,1.4593680447336896
categorical__program_code_1_CT_HMSM,0.36291281370651757,1.4375105225631646
categorical__program_description_HTT: Spa Management,0.36291281370651757,1.4375105225631646
categorical__program_code_1_CT_CAAV,0.3623299052825589,1.4366728297428535
categorical__program_code_1_CT_AVSC,0.360472339908592,1.434006593161645
categorical__program_description_Advanced Culinary Arts,0.35981427528251814,1.4330632345786287
categorical__program_description_Photography: Still,0.35334246753939264,1.4238186716245596
categorical__program_description_Kinesiology,0.35157768558195246,1.4213081580283329
categorical__program_code_1_AAT_KIN,0.35157768558195246,1.4213081580283329
categorical__program_code_1_AS_PEPT,0.3499399499132898,1.4189823360224534
categorical__program_description_Fitness Spec: Personal Trainer,0.3499399499132898,1.4189823360224534
categorical__program_description_Marketing: Internatnl Business,0.3485639715043629,1.4170311896409293
categorical__ethnicity_detail_Multiple Ethnicities,0.3483513095676024,1.4167298730841071
categorical__program_code_1_AS_CTMS,0.3352886879731155,1.3983440120571164
categorical__program_description_Sociology,0.3266636650109862,1.386335125750258
categorical__program_code_1_AAT_SOC,0.3266636650109862,1.386335125750258
categorical__education_goal_Two Yr. Vocational Degree,0.3263355911793456,1.3858803800727724
categorical__program_code_1_AS_WELD,0.3243503640075358,1.3831318218443145
categorical__program_description_Media Arts & Creative Ent,0.31706418822768295,1.373090705355689
categorical__program_code_1_CN_MART,0.31706418822768295,1.373090705355689
categorical__program_description_Political Science,0.3144799081077575,1.3695468354915148
categorical__program_code_1_AAT_PSCI,0.3144799081077575,1.3695468354915148
categorical__program_code_1_CT_ACCT,0.30420555914695896,1.3555476726758542
categorical__program_description_Global Studies,0.29578122280349356,1.344176049593506
categorical__program_code_1_AAT_GLST,0.29578122280349356,1.344176049593506
categorical__program_code_1_AS_DENA,0.29510287238910166,1.3432645364108746
categorical__program_description_Elementary Teacher Education,0.2899011055964472,1.3362953293611362
categorical__program_code_1_AAT_ETE,0.2899011055964472,1.3362953293611362
categorical__program_code_1_CN_DSLR,0.276675787796348,1.3187387505224621
categorical__program_description_Digtl SLR Photogrphy/Videogrph,0.276675787796348,1.3187387505224621
categorical__program_code_1_CN_IBUS,0.260659859725253,1.29778616100986
categorical__program_description_Earth Science,0.2588724097422733,1.2954685051225112
categorical__program_code_1_AS_ERTH,0.2588724097422733,1.2954685051225112
categorical__program_description_Art History,0.2585778145444282,1.2950869225309016
categorical__program_code_1_AAT_ARTH,0.2585778145444282,1.2950869225309016
categorical__program_code_1_AS_ECPT,0.25554202437556367,1.2911612721240195
categorical__high_school_feeder_Feeder HS,0.25432362669521635,1.289589082195882
categorical__program_code_1_AS_UXDS,0.2523277993832128,1.2870178518037991
categorical__program_code_1_AA_JOUR,0.24517060824622394,1.277839304531501
categorical__program_code_1_AS_HVAC,0.24498447737582174,1.2776014813233214
categorical__program_code_1_AAT_PSYC,0.24206321393667815,1.2738747169067361
categorical__program_description_Psychology,0.24206321393667815,1.2738747169067361
categorical__program_code_1_CE_MKRS,0.24112881010472545,1.2726849594333678
categorical__program_description_Real Estate Salesperson,0.24112881010472545,1.2726849594333678
categorical__ethnicity_detail_Hispanic - Mexican,0.23470908311690009,1.2645408389375759
categorical__program_description_Journalism,0.23019936470202204,1.2588509553594216
categorical__program_code_1_AA_FTV,0.22960088158891448,1.2580977797246502
categorical__program_code_1_AAT_ECON,0.22907751348449298,1.2574395037498494
categorical__program_description_Economics,0.22907751348449298,1.2574395037498494
categorical__program_code_1_CN_WELD,0.2167315588535805,1.2420106506207949
categorical__age_category_35 to 39,0.21626878285865153,1.2414360108812355
categorical__program_description_Studio Arts,0.2136813625749872,1.238228046132049
categorical__program_code_1_AAT_ARTS,0.2136813625749872,1.238228046132049
categorical__program_code_1_AS_CULN,0.2129734902052101,1.2373518488652142
categorical__program_description_Culinology:Professional Levl 2,0.2129734902052101,1.2373518488652142
categorical__program_description_Fashion Merchandising,0.2128787392694611,1.2372346141738195
categorical__program_code_1_CT_HVAC,0.21045819078779268,1.2342434493971426
categorical__ethnicity_detail_Hispanic - South American,0.20644968117156448,1.229305875429304
categorical__program_code_1_CN_CSPR,0.19617579941455507,1.2167407888518122
categorical__ipeds_ethnicity_Unknown,0.19548805701521602,1.2159042723092326
categorical__program_description_EC: Preschool Teacher,0.192959416617371,1.212833571631428
categorical__program_description_Computer Science,0.19016176357924908,1.2094452260227198
categorical__ethnicity_detail_Asian - Other,0.17126215586927723,1.1868018353101775
categorical__program_code_1_AS_ENGR,0.16813316040506174,1.1830941414542473
categorical__program_description_Engineering,0.16813316040506174,1.1830941414542473
categorical__program_description_Accounting,0.16300534845788178,1.1770429850364623
categorical__program_code_1_AS_ARCH,0.1511522393599097,1.1631737254265913
