feature,coefficient,odds_ratio
categorical__program_code_1_CN_AMAV,0.788234609434355,2.199510002529909
categorical__program_description_Avionics,0.788234609434355,2.199510002529909
categorical__program_code_1_CT_DNDI,0.7785462471038134,2.178303247916642
categorical__program_description_Dance Instructor,0.7785462471038134,2.178303247916642
categorical__ethnicity_detail_Asian - Japanese,0.7624006608813786,2.143415663134102
categorical__program_description_Immersive Media (VR/AR),0.738683649840592,2.093178344544433
categorical__program_code_1_CT_VRAR,0.738683649840592,2.093178344544433
categorical__program_code_1_CN_FTV,0.7280000184246089,2.0709346320107587
categorical__residency_VACA Non-Resident Fee Exemptn,0.726740572726745,2.0683280440704475
categorical__program_code_1_CN_PILA,0.6829031675886256,1.97961655644004
categorical__program_description_Pilates Instructor,0.6829031675886256,1.97961655644004
categorical__program_description_EC: Assoc Preschool,0.6772176425383214,1.9683933321126594
categorical__program_code_1_CN_ECAP,0.6772176425383214,1.9683933321126594
categorical__age_category_35 to 39,0.6606426699586341,1.936036166955644
categorical__program_code_1_AS_PEPT,0.6073125915457536,1.8354920478805095
categorical__program_code_1_AS_TRAV,0.5925232166871933,1.8085460165607026
categorical__program_description_Travel Specialist,0.5925232166871933,1.8085460165607026
categorical__program_code_1_CE_AVFO,0.5919046931473523,1.8074277341542222
categorical__program_description_Aviatn Sci:Flight Operations,0.5919046931473523,1.8074277341542222
categorical__program_description_EC: Preschool Teacher,0.5879551158267246,1.8003032372038665
categorical__program_code_1_AS_ECPT,0.5879551158267246,1.8003032372038665
categorical__ethnicity_detail_White,0.5716957583104815,1.7712681488301176
categorical__program_description_Marketing: Internatnl Business,0.5494538921876,1.7323067332636972
categorical__program_description_Animation,0.5337694140061362,1.705348372662094
categorical__program_description_Film & Television,0.5241434152118929,1.6890114470441326
categorical__ipeds_ethnicity_Asian,0.5128858731040777,1.67010395518334
categorical__program_code_1_CT_PHST,0.5107138405431498,1.6664803717077847
categorical__attendance_status_FT,0.5048043663754479,1.6566613900840867
categorical__ethnicity_detail_Hispanic - South American,0.498106267251862,1.6456019877136265
categorical__residency_Military Dependent NR Exempt,0.49090017056000446,1.6337862444983444
categorical__program_code_1_CN_MRPM,0.4815939270338785,1.6186523608645196
categorical__program_description_Professional Mariner - Level 1,0.4815939270338785,1.6186523608645196
categorical__program_code_1_CN_WELD,0.47708274963322417,1.6113667785473889
categorical__program_code_1_CN_MART,0.47092633180602833,1.601477005410014
categorical__program_description_Media Arts & Creative Ent,0.47092633180602833,1.601477005410014
categorical__program_description_Fitness Spec: Personal Trainer,0.46809879530390286,1.5969551665647592
categorical__program_description_English,0.46518136999425047,1.5923029586776822
categorical__program_code_1_AST_PHYS,0.46127870975171986,1.5861008514573185
categorical__program_description_Physics,0.46127870975171986,1.5861008514573185
categorical__program_code_1_AS_ERTH,0.4370558573024805,1.548142549707935
categorical__program_description_Earth Science,0.4370558573024805,1.548142549707935
categorical__ethnicity_detail_Asian - Korean,0.43129228737702324,1.5392453862094637
categorical__program_description_Nutrition & Fitness Education,0.4157244205909211,1.5154681794945335
categorical__program_code_1_CT_NCFE,0.4157244205909211,1.5154681794945335
categorical__program_code_1_AAT_GLST,0.4135659809503013,1.5122006605416083
categorical__program_description_Global Studies,0.4135659809503013,1.5122006605416083
categorical__program_description_Studio Arts,0.40695615518767336,1.5022382388643494
categorical__program_code_1_AAT_ARTS,0.40695615518767336,1.5022382388643494
categorical__program_description_HVACR Technology,0.39092125242434633,1.4783420929734852
categorical__program_code_1_AST_HLTH,0.3893196507275006,1.4759762728253616
categorical__program_description_Public Health Science,0.3893196507275006,1.4759762728253616
categorical__program_code_1_AS_SLPA,0.3827428297928738,1.466300892671948
categorical__program_description_Speech-Lang Pathology Assist,0.3827428297928738,1.466300892671948
categorical__program_code_1_AS_CTBP,0.372300734731205,1.4510693026180648
numeric__international_student,0.36266745626709695,1.4371578619279326
categorical__program_code_1_AS_CTMS,0.35638562147707376,1.4281581705543553
categorical__program_code_1_CT_HMSM,0.3561292855028697,1.4277921291551823
categorical__program_description_HTT: Spa Management,0.3561292855028697,1.4277921291551823
categorical__high_school_feeder_Feeder HS,0.35363028499487026,1.4242285304711237
categorical__program_code_1_CT_HVAC,0.3410825422163205,1.4064693291666266
categorical__program_code_1_AAT_ARTH,0.3371029813610128,1.4008833211815293
categorical__program_description_Art History,0.3371029813610128,1.4008833211815293
categorical__program_code_1_AS_IBUS,0.3314210947904239,1.3929462312276524
categorical__program_code_1_AAT_SOC,0.3279463821699497,1.3881145426044155
categorical__program_description_Sociology,0.3279463821699497,1.3881145426044155
categorical__program_description_Welding Technology,0.32773286512340155,1.3878181881265004
categorical__program_code_1_AS_MKGN,0.32620058274118424,1.3856932871570258
categorical__program_description_Const Tech: Master Specialist,0.32476754681767295,1.3837089610424473
categorical__program_code_1_AAT_HIST,0.32214188822956713,1.3800805792558768
categorical__program_description_History,0.32214188822956713,1.3800805792558768
categorical__ethnicity_detail_Asian - Vietnamese,0.3104614176347431,1.364054367686669
categorical__program_description_Economics,0.30709432112860646,1.359469188693112
categorical__program_code_1_AAT_ECON,0.30709432112860646,1.359469188693112
categorical__program_code_1_AA_PUBG,0.2887812962737893,1.3347997709199182
categorical__program_description_Public Health-General Studies,0.2887812962737893,1.3347997709199182
categorical__program_code_1_AS_DMAN,0.2817777021221599,1.3254840349459964
categorical__program_code_1_AA_THEA,0.2757273884196561,1.317488652403287
categorical__program_description_Theatre Arts,0.2757273884196561,1.317488652403287
categorical__program_code_1_AAT_ANTH,0.2722318559214017,1.3128913676629241
categorical__program_description_Psychology,0.268540576502333,1.3080540522120672
categorical__program_code_1_AAT_PSYC,0.268540576502333,1.3080540522120672
categorical__program_code_1_AST_MATH,0.26317472794126856,1.301054029584455
categorical__program_description_Mathematics,0.26317472794126856,1.301054029584455
categorical__program_description_Political Science,0.26218702727432336,1.2997696120661404
categorical__program_code_1_AAT_PSCI,0.26218702727432336,1.2997696120661404
categorical__program_code_1_CT_DMAN,0.2519917118839747,1.2865853738717956
categorical__program_code_1_AAT_ENGL,0.2518713041259148,1.2864304683374763
categorical__ipeds_ethnicity_Unknown,0.2420095830863315,1.2738063997544031
categorical__education_goal_4 yr college student meet 4 yr,0.2365594252926168,1.2668828382666404
categorical__program_code_1_AAT_ETE,0.23308963708654287,1.2624946405968214
categorical__program_description_Elementary Teacher Education,0.23308963708654287,1.2624946405968214
categorical__ethnicity_detail_Multiple Ethnicities,0.22885978266294885,1.2571657502170281
categorical__program_description_Nutrition and Dietetics,0.2240704890308284,1.2511592093201929
categorical__program_code_1_AST_NUTR,0.2240704890308284,1.2511592093201929
categorical__program_code_1_AS_CULN,0.21962272960275106,1.2456067113919687
categorical__program_description_Culinology:Professional Levl 2,0.21962272960275106,1.2456067113919687
categorical__program_code_1_CN_IBUS,0.21803279739717685,1.2436278547068942
categorical__program_code_1_AA_ENGL,0.2133100658683343,1.2377683814777019
categorical__program_description_Horticulture,0.21292960716009948,1.237297551289593
categorical__program_code_1_AS_OH,0.21292960716009948,1.237297551289593
categorical__program_code_1_AS_FSMC,0.20815309249013478,1.2314016734677797
categorical__program_description_Fashion Merchandising,0.20815309249013478,1.2314016734677797
categorical__program_code_1_AS_UXDS,0.20790253837958886,1.2310931793656057
categorical__program_description_Anthropology,0.19890789436257275,1.2200695854376427
categorical__program_code_1_AAT_KIN,0.19391189174492413,1.2139893157636632
categorical__program_description_Kinesiology,0.19391189174492413,1.2139893157636632
categorical__program_code_1_CF_IDP,0.19174602512077393,1.2113628221667212
categorical__program_description_Interior Design: Professional,0.19174602512077393,1.2113628221667212
categorical__education_goal_Two Yr. Vocational Degree,0.18709248545694196,1.2057387931966457
numeric__zipcode,0.18314103140726037,1.2009837725692363
categorical__program_description_Marketing: Advertising,0.17845914031594792,1.1953740396700334
categorical__program_code_1_CE_MKAD,0.17845914031594792,1.1953740396700334
categorical__program_description_Architecture,0.17821834089885782,1.1950862289517934
categorical__program_code_1_AS_ARCH,0.17821834089885782,1.1950862289517934
categorical__residency_Non-Resident-Out of state,0.17706462308269708,1.1937082317404204
categorical__program_code_1_AS_CAAV,0.17242695136539812,1.1881850221512498
categorical__program_code_1_AA_JOUR,0.1677045655631085,1.182587182055527
categorical__ethnicity_detail_Asian - Indian,0.1675969183891933,1.1824598867390839
categorical__program_code_1_AS_FAAT,0.16672522280723784,1.1814295907974235
categorical__ethnicity_detail_Hispanic - Mexican,0.16371982853370534,1.1778842592987202
categorical__program_description_Const Tech: Construction Tech,0.15584900574229482,1.1686497303684662
categorical__program_code_1_AAT_PHIL,0.15565523320761762,1.1684233000867563
categorical__program_description_Philosophy,0.15565523320761762,1.1684233000867563
categorical__program_description_Liberal Arts,0.1504522825552025,1.1623598389383447
categorical__program_code_1_AA_LIB,0.1504522825552025,1.1623598389383447
categorical__program_description_Advanced Culinary Arts,0.1429207590780661,1.153638382674974
categorical__program_code_1_CT_BSAD,0.14100108035411085,1.151425891931768
categorical__program_description_Communication Studies,0.13938518218017756,1.1495668073857628
categorical__program_code_1_AAT_CMST,0.13938518218017756,1.1495668073857628
categorical__gender_F,0.1372896767509798,1.1471604060937175
categorical__program_code_1_AAT_MUS,0.1348458752583386,1.1443603965083189
categorical__program_description_Journalism,0.1340908376711538,1.1434966875030832
categorical__program_description_Biology,0.12683902494113702,1.135234258670439
categorical__program_description_Engineering,0.11768752665712703,1.1248925575067807
categorical__program_code_1_AS_ENGR,0.11768752665712703,1.1248925575067807
categorical__program_code_1_AST_BSAD,0.1165697257382373,1.1236358540753246
categorical__program_description_Geology,0.11204625713038203,1.1185646010369459
categorical__program_code_1_AST_GEOL,0.11204625713038203,1.1185646010369459
categorical__program_code_1_AS_DMAG,0.11106012732553974,1.1174620948416758
categorical__program_description_DMAD: GraphicsDesign,0.11106012732553974,1.1174620948416758
categorical__bog_eligible_Yes,0.10843826714544003,1.114536102919436
categorical__education_goal_AA Degree w/Transfer Bach.,0.10725022276211647,1.1132127708066446
categorical__program_code_1_AAT_THEA,0.10291092296147028,1.1083926723417044
categorical__program_description_Theatre,0.10291092296147028,1.1083926723417044
categorical__program_code_1_CT_MACE,0.09869978484737559,1.1037348918755456
numeric__disability,0.09618096767953871,1.1009582838331535
categorical__ipeds_ethnicity_Multiple,0.09254668699115111,1.0969643543299132
categorical__district_status_Out-of-District,0.09194055973612139,1.0962996558032547
categorical__education_goal_Certificate Only,0.08396464575116488,1.0875904421859923
categorical__program_code_1_AS_MRSC,0.08304064448392079,1.0865859713767865
categorical__program_description_Marine Science,0.08304064448392079,1.0865859713767865
categorical__program_code_1_AS_BIOL,0.07122738024572083,1.0738253647864284
categorical__district_status_In-District,0.06676113171665489,1.069040087902872
categorical__program_description_Photography: Still,0.06522399012809416,1.067398084243286
categorical__program_code_1_AS_AMAP,0.061500634920650755,1.063431171722997
categorical__program_code_1_CN_CSPR,0.060046897992383184,1.0618863457153631
categorical__ethnicity_detail_Asian - Other,0.05960651086756705,1.061418807597132
categorical__program_code_1_AST_BIOL,0.0556116446954163,1.0571870398090515
categorical__ethnicity_detail_Asian - Chinese,0.054719170649776556,1.0562439487193938
categorical__program_description_Computer Science,0.053149197181471056,1.054586974786747
categorical__ipeds_ethnicity_Filipino,0.051855788774478856,1.0532238448595392
categorical__ethnicity_detail_Filipino,0.051855788774478856,1.0532238448595392
categorical__program_code_1_AS_HVAC,0.04983871020802559,1.0511015507529375
numeric__athlete,0.04842408889665887,1.049615691310834
categorical__age_category_30 to 34,0.04287730478494273,1.043809816523557
categorical__program_code_1_AS_CTEV,0.039153922039506975,1.0399305395613705
categorical__program_description_Echo & Vascular Ultrasound,0.039153922039506975,1.0399305395613705
categorical__gender_N,0.03652963734149662,1.0372050435623064
categorical__ipeds_ethnicity_Hispanic,0.014551954543336161,1.0146583496932022
categorical__program_description_Business Administration,0.009641354228847413,1.0096879818150812
categorical__program_description_Digtl SLR Photogrphy/Videogrph,0.008605049806887116,1.0086421796730112
categorical__program_code_1_CN_DSLR,0.008605049806887116,1.0086421796730112
categorical__program_code_1_AS_RE,0.008351238463855142,1.0083862073324654
categorical__program_description_UX Design,0.006334769407383019,1.0063548764946029
categorical__program_description_Medical Assisting:CMA Eligible,0.0011282797303531632,1.0011289164773818
categorical__program_code_1_AS_ASTR,-0.00620958807693589,0.9938096515710784
categorical__program_description_Astronomy,-0.00620958807693589,0.9938096515710784
categorical__program_code_1_AS_CSPR,-0.00689770081091211,0.9931260337247309
categorical__program_description_Music,-0.01828810837351899,0.9818781042996627
categorical__program_description_Real Estate Broker,-0.02091956257242941,0.9792977335919442
categorical__ipeds_ethnicity_American Indian Native Alaskan,-0.02408462360864074,0.9762030964336533
categorical__ethnicity_detail_American Indian Native Alaskan,-0.02408462360864074,0.9762030964336533
categorical__program_description_Landscape Site Design,-0.02498339456549727,0.9753261076076637
categorical__program_code_1_CE_LSCP,-0.02498339456549727,0.9753261076076637
categorical__program_code_1_AS_DENA,-0.02595756845773888,0.9743764330264069
categorical__program_description_Yoga Instructor,-0.026820032913446635,0.9735364302747695
categorical__program_code_1_CE_YOGA,-0.026820032913446635,0.9735364302747695
categorical__program_code_1_AS_AVSC,-0.027909209572093068,0.9724766543649327
categorical__program_code_1_CN_RE,-0.029270801036284457,0.9711534394966881
categorical__program_code_1_CT_CAAV,-0.029506192287332585,0.9709248653768346
categorical__program_code_1_CT_CTMS,-0.03161807465940112,0.9688765499309822
categorical__program_code_1_AAT_JOUR,-0.033613727891954735,0.9669449363686673
categorical__ethnicity_detail_Pacific Islander - Hawaiian,-0.03527882310072479,0.9653362206920441
numeric__veteran,-0.03595099852362325,0.9646875634398155
categorical__ethnicity_detail_Hispanic - Central American,-0.0384815663937828,0.9622494423036355
categorical__program_description_Natural Science,-0.04240340165167494,0.9584830489285968
categorical__program_code_1_AS_NS,-0.04240340165167494,0.9584830489285968
categorical__program_description_Nutrition Careers:Nutrition Ed,-0.04257312684240707,0.9583203840148612
categorical__program_code_1_AS_NCNE,-0.04257312684240707,0.9583203840148612
categorical__program_code_1_CT_CULN,-0.042601116016102364,0.958293561794545
categorical__program_description_Culinary/Food Sci Asst Level 1,-0.042601116016102364,0.958293561794545
categorical__program_description_Interior Design:Assistnt Lvl 2,-0.05149784121656201,0.9498057003848016
categorical__program_code_1_AS_IDA,-0.05149784121656201,0.9498057003848016
categorical__program_code_1_AS_IHC,-0.05179372863753979,0.9495247063990278
categorical__program_description_Integrative Health Coach,-0.05179372863753979,0.9495247063990278
categorical__program_code_1_CT_ACCT,-0.05232653647452517,0.94901892694764
categorical__ethnicity_detail_Pacific Islander,-0.061274938554020726,0.9405646067506008
numeric__foster_youth,-0.061989376401903294,0.9398928717821743
categorical__program_code_1_AA_FTV,-0.06378507093013265,0.9382066257397002
